TIME OF RUN1604776813.964266549
amcl->pose.x,amcl->pose.y,errAmcl.x,errAmcl.y,errAmcl.theta,linearError,angularError
19.5948,38.0133,0.147369,0.104118,0.106333,0.180439,0.106333
19.5506,38.0822,0.191544,0.0352608,0.114553,0.194763,0.114553
19.5273,37.7669,0.246298,0.0320672,0.101511,0.248377,0.101511
19.5945,37.1718,0.242,0.00969253,0.124729,0.242194,0.124729
19.4705,36.8767,0.193405,0.0227699,0.0181861,0.19474,0.0181861
19.1821,36.4741,0.0148418,0.0232111,0.120004,0.0275505,0.120004
19.118,35.9852,0.048756,0.145711,0.0152753,0.153652,0.0152753
19.1408,35.2486,0.0249374,0.242333,0.00792728,0.243612,0.00792728
19.1637,34.926,0.00137975,0.164976,0.0324955,0.164981,0.0324955
19.1628,34.8286,0.00221823,0.262321,0.122118,0.262331,0.122118
18.5996,35.1227,0.0160539,0.235536,0.0487179,0.236083,0.0487179
18.125,35.0539,0.0625397,0.234526,0.0172346,0.242721,0.0172346
17.4896,34.907,0.0506019,0.179471,0.0707327,0.186469,0.0707327
17.014,35.0808,0.047123,0.121211,0.0697346,0.130049,0.0697346
16.6895,35.4081,0.0123142,0.12389,0.074048,0.1245,0.074048
16.1978,35.3502,0.0366263,0.0264261,0.117464,0.0451644,0.117464
15.5507,35.0578,0.0395055,0.0233658,0.143119,0.0458982,0.143119
15.1836,34.9301,0.0882639,0.12753,0.217318,0.155095,0.217318
14.7441,34.4745,0.0103644,0.172687,0.175065,0.172998,0.175065
14.3926,34.1027,0.0953172,0.188865,0.1415,0.211554,0.1415
14.0382,33.6322,0.138792,0.269197,0.0868222,0.30287,0.0868222
13.813,33.0714,0.00513707,0.215714,0.0386868,0.215775,0.0386868
